time,ego_speed,lead_speed,distance
0.0,0.0,,
0.1,0.2,,
0.2,0.4,,
0.3,0.6,,
0.4,0.8,,
0.5,1.0,,
0.6,1.2,,
0.7,1.4,,
0.8,1.6,,
0.9,1.8,,
1.0,2.0,,
1.1,2.2,,
1.2,2.4,,
1.3,2.6,,
1.4,2.8,,
1.5,3.0,,
1.6,3.2,,
1.7,3.4,,
1.8,3.6,,
1.9,3.8,,
2.0,4.0,,
2.1,4.2,,
2.2,4.4,,
2.3,4.6,,
2.4,4.8,,
2.5,5.0,,
2.6,5.2,,
2.7,5.4,,
2.8,5.6,,
2.9,5.8,,
3.0,6.0,,
3.1,6.2,,
3.2,6.4,,
3.3,6.6,,
3.4,6.8,,
3.5,7.0,,
3.6,7.2,,
3.7,7.4,,
3.8,7.6,,
3.9,7.8,,
4.0,8.0,,
4.1,8.2,,
4.2,8.4,,
4.3,8.6,,
4.4,8.8,,
4.5,9.0,,
4.6,9.2,,
4.7,9.4,,
4.8,9.6,,
4.9,9.8,,
5.0,10.0,,
5.1,10.2,,
5.2,10.4,,
5.3,10.6,,
5.4,10.8,,
5.5,11.0,,
5.6,11.2,,
5.7,11.4,,
5.8,11.6,,
5.9,11.8,,
6.0,12.0,,
6.1,12.2,,
6.2,12.4,,
6.3,12.6,,
6.4,12.8,,
6.5,13.0,,
6.6,13.2,,
6.7,13.4,,
6.8,13.6,,
6.9,13.8,,
7.0,14.0,,
7.1,14.2,,
7.2,14.4,,
7.3,14.6,,
7.4,14.8,,
7.5,15.0,,
7.6,15.2,,
7.7,15.4,,
7.8,15.6,,
7.9,15.8,,
8.0,16.0,,
8.1,16.2,,
8.2,16.4,,
8.3,16.6,,
8.4,16.8,,
8.5,17.0,,
8.6,17.2,,
8.7,17.4,,
8.8,17.6,,
8.9,17.8,,
9.0,18.0,,
9.1,18.2,,
9.2,18.4,,
9.3,18.6,,
9.4,18.8,,
9.5,19.0,,
9.6,19.2,,
9.7,19.4,,
9.8,19.6,,
9.9,19.8,,
10.0,20.0,,
10.1,20.2,,
10.2,20.4,,
10.3,20.6,,
10.4,20.8,,
10.5,21.0,,
10.6,21.2,,
10.7,21.4,,
10.8,21.6,,
10.9,21.8,,
11.0,22.0,,
11.1,22.2,,
11.2,22.4,,
11.3,22.6,,
11.4,22.8,,
11.5,23.0,,
11.6,23.2,,
11.7,23.4,,
11.8,23.6,,
11.9,23.8,,
12.0,24.0,,
12.1,24.2,,
12.2,24.4,,
12.3,24.6,,
12.4,24.8,,
12.5,25.0,,
12.6,25.2,,
12.7,25.4,,
12.8,25.6,,
12.9,25.8,,
13.0,26.0,,
13.1,26.2,,
13.2,26.4,,
13.3,26.6,,
13.4,26.8,,
13.5,27.0,,
13.6,27.2,,
13.7,27.4,,
13.8,27.6,,
13.9,27.8,,
14.0,28.0,,
14.1,28.2,,
14.2,28.4,,
14.3,28.6,,
14.4,28.8,,
14.5,29.0,,
14.6,29.2,,
14.7,29.4,,
14.8,29.6,,
14.9,29.8,,
15.0,30.0,,
15.1,30.0,,
15.2,30.0,,
15.3,30.0,,
15.4,30.0,,
15.5,30.0,,
15.6,30.0,,
15.7,30.0,,
15.8,30.0,,
